date,temperature,humidity,luminosity
2019-11-27 16:59:54.568,24.1,31.0,108
2019-11-27 16:59:52.296,24.1,31.0,108
2019-11-27 16:59:50.022,24.1,31.0,107
2019-11-27 16:59:47.749,24.1,31.0,106
2019-11-27 16:59:45.476,24.1,31.0,108
2019-11-27 16:59:43.198,24.1,31.0,109
2019-11-27 16:59:40.924,24.1,31.0,106
2019-11-27 16:59:38.652,24.1,31.0,106
2019-11-27 16:59:36.378,24.1,31.0,110
2019-11-27 16:59:34.106,24.1,31.0,111
2019-11-27 16:59:31.829,24.1,31.0,111
2019-11-27 16:59:29.555,24.1,31.0,106
2019-11-27 16:59:27.282,24.1,31.0,111
2019-11-27 16:59:25.009,24.1,30.9,107
2019-11-27 16:59:22.736,24.1,31.0,108
2019-11-27 16:59:20.458,24.1,31.0,112
2019-11-27 16:59:18.185,24.1,30.9,112
2019-11-27 16:59:15.912,24.1,31.0,110
2019-11-27 16:59:13.638,24.1,30.9,117
2019-11-27 16:59:11.365,24.1,30.9,112
2019-11-27 16:59:09.088,24.1,30.9,110
2019-11-27 16:59:06.814,24.1,30.9,100
2019-11-27 16:59:04.542,24.1,31.0,108
2019-11-27 16:59:02.269,24.1,30.9,111
2019-11-27 16:58:59.995,24.1,31.0,113
2019-11-27 16:58:57.718,24.1,30.9,113
2019-11-27 16:58:55.445,24.1,31.0,112
2019-11-27 16:58:53.172,24.1,31.0,111
2019-11-27 16:58:50.898,24.1,31.0,110
2019-11-27 16:58:48.625,24.1,31.0,110
2019-11-27 16:58:46.348,24.1,31.0,109
2019-11-27 16:58:44.074,24.1,31.0,110
2019-11-27 16:58:41.801,24.1,31.0,108
2019-11-27 16:58:39.528,24.1,31.0,109
2019-11-27 16:58:37.254,24.1,31.1,102
2019-11-27 16:58:34.978,24.1,31.0,102
2019-11-27 16:58:32.705,24.2,31.0,101
2019-11-27 16:58:30.431,24.1,31.0,101
2019-11-27 16:58:28.158,24.1,31.0,102
2019-11-27 16:58:25.885,24.1,31.0,101
2019-11-27 16:58:23.606,24.1,31.0,108
2019-11-27 16:58:21.334,24.1,31.0,105
