date,temperature,humidity,luminosity
2019-11-27 15:49:24.766,26.1,29.4,124
2019-11-27 15:49:27.040,26.1,29.4,124
2019-11-27 15:49:29.312,26.0,29.4,125
2019-11-27 15:49:31.585,26.0,29.5,125
2019-11-27 15:49:33.864,26.0,29.5,125
2019-11-27 15:49:36.137,26.0,29.5,125
2019-11-27 15:49:38.410,26.0,29.5,125
2019-11-27 15:49:40.684,26.1,29.6,124
2019-11-27 15:49:42.957,26.1,29.6,126
2019-11-27 15:49:45.234,26.0,29.7,126
2019-11-27 15:49:47.508,26.1,29.8,125
2019-11-27 15:49:49.781,26.1,29.8,125
2019-11-27 15:49:52.054,26.0,29.8,125
2019-11-27 15:49:54.327,26.0,29.8,124
2019-11-27 15:49:56.600,26.1,29.8,124
2019-11-27 15:49:58.876,26.1,29.7,124
2019-11-27 15:50:01.151,26.1,29.8,124
2019-11-27 15:50:03.424,26.0,29.9,125
2019-11-27 15:50:05.697,26.1,29.9,125
2019-11-27 15:50:07.970,26.1,29.9,125
2019-11-27 15:50:10.247,26.1,29.8,125
2019-11-27 15:50:12.521,26.1,29.8,125
2019-11-27 15:50:14.794,26.1,29.7,125
2019-11-27 15:50:17.068,26.1,29.7,125
2019-11-27 15:50:19.341,26.0,29.7,125
2019-11-27 15:50:21.617,26.0,29.7,125
2019-11-27 15:50:23.891,26.0,29.7,125
2019-11-27 15:50:26.164,26.1,29.7,125
2019-11-27 15:50:28.437,26.0,29.7,125
2019-11-27 15:50:30.711,26.1,29.7,125
2019-11-27 15:50:32.988,26.1,29.7,125
2019-11-27 15:50:35.261,26.0,29.7,125
2019-11-27 15:50:37.534,26.0,29.6,125
2019-11-27 15:50:39.808,26.1,29.7,125
2019-11-27 15:50:42.081,26.1,29.7,124
2019-11-27 15:50:44.354,26.0,29.6,125
2019-11-27 15:50:46.632,26.1,29.6,125
2019-11-27 15:50:48.905,26.0,29.6,125
2019-11-27 15:50:51.178,26.1,29.6,125
2019-11-27 15:50:53.451,26.1,29.6,125
2019-11-27 15:50:55.723,26.1,29.6,125
2019-11-27 15:50:58.001,26.1,29.6,125
2019-11-27 15:51:00.275,26.1,29.6,125
2019-11-27 15:51:02.548,26.1,29.6,125
2019-11-27 15:51:04.821,26.1,29.6,125
2019-11-27 15:51:07.094,26.0,29.7,125
2019-11-27 15:51:09.372,26.1,29.6,125
2019-11-27 15:51:11.645,26.1,29.6,124
2019-11-27 15:51:13.918,26.1,29.6,124
2019-11-27 15:51:16.192,26.0,29.6,125
2019-11-27 15:51:18.465,26.0,29.6,125
2019-11-27 15:51:20.741,26.1,29.6,125
2019-11-27 15:51:23.016,26.1,29.6,125
2019-11-27 15:51:25.289,26.1,29.7,125
2019-11-27 15:51:27.562,26.0,29.7,124
2019-11-27 15:51:29.834,26.1,29.7,125
2019-11-27 15:51:32.111,26.0,29.7,124
2019-11-27 15:51:34.385,26.0,29.7,124
2019-11-27 15:51:36.658,26.0,29.7,125
2019-11-27 15:51:38.932,26.1,29.7,124
2019-11-27 15:51:41.205,26.0,29.6,124
2019-11-27 15:51:43.478,26.0,29.7,125
2019-11-27 15:51:45.756,26.0,29.6,125
2019-11-27 15:51:48.029,26.0,29.6,125
2019-11-27 15:51:50.302,26.0,29.6,124
2019-11-27 15:51:52.575,26.0,29.6,125
2019-11-27 15:51:54.848,26.0,29.6,116
2019-11-27 15:51:57.126,26.0,29.6,119
2019-11-27 15:51:59.398,26.0,29.6,116
2019-11-27 15:52:01.672,26.0,29.7,131
2019-11-27 15:52:03.944,26.0,29.7,124
2019-11-27 15:52:06.218,26.0,29.7,124
2019-11-27 15:52:08.492,26.0,29.7,125
2019-11-27 15:52:10.769,26.0,29.7,125
2019-11-27 15:52:13.042,26.0,29.7,125
2019-11-27 15:52:15.315,26.0,29.7,125
2019-11-27 15:52:17.589,26.1,29.7,127
2019-11-27 15:52:19.862,26.0,29.7,126
2019-11-27 15:52:22.138,26.1,29.7,127
2019-11-27 15:52:24.412,26.0,29.7,132
2019-11-27 15:52:26.686,26.0,29.7,132
2019-11-27 15:52:28.959,26.0,29.7,133
2019-11-27 15:52:31.232,26.0,29.7,133
2019-11-27 15:52:33.510,26.1,29.8,133
2019-11-27 15:52:35.782,26.1,29.8,132
2019-11-27 15:52:38.055,26.0,30.0,132
2019-11-27 15:52:40.329,26.0,30.1,132
2019-11-27 15:52:42.602,26.0,30.3,132
2019-11-27 15:52:44.879,26.0,30.3,130
2019-11-27 15:52:47.152,26.0,30.4,132
2019-11-27 15:52:49.425,26.1,30.5,133
2019-11-27 15:52:51.699,26.1,30.8,133
2019-11-27 15:52:53.972,26.1,30.9,132
2019-11-27 15:52:56.250,26.1,30.9,131
2019-11-27 15:52:58.523,26.1,30.9,132
2019-11-27 15:53:00.796,26.1,30.8,132
2019-11-27 15:53:03.069,26.1,30.7,132
2019-11-27 15:53:05.343,26.0,30.6,132
2019-11-27 15:53:07.620,26.1,30.5,132
2019-11-27 15:53:09.893,26.1,30.4,131
2019-11-27 15:53:12.166,26.1,30.3,132
2019-11-27 15:53:14.440,26.1,30.2,132
2019-11-27 15:53:16.713,26.1,30.1,132
2019-11-27 15:53:18.989,26.1,30.0,132
2019-11-27 15:53:21.264,26.1,30.0,132
2019-11-27 15:53:23.536,26.1,29.9,132
2019-11-27 15:53:25.808,26.1,29.8,132
2019-11-27 15:53:28.083,26.1,29.7,132
2019-11-27 15:53:30.360,26.1,29.7,132
2019-11-27 15:53:32.633,26.1,29.7,132
2019-11-27 15:53:34.907,26.1,29.8,131
2019-11-27 15:53:37.180,26.0,29.8,124
2019-11-27 15:53:39.453,26.1,29.9,116
2019-11-27 15:53:41.731,26.0,29.9,117
2019-11-27 15:53:44.004,26.1,29.9,118
2019-11-27 15:53:46.277,26.0,29.9,112
2019-11-27 15:53:48.550,26.0,29.8,112
2019-11-27 15:53:50.823,26.0,29.9,100
2019-11-27 15:53:53.096,26.1,29.9,100
